strategy,universe,hit_ratio,risk_reward,avg_gain,avg_loss,max_gain,max_loss,buys,sells,trades,N,expectancy,profit_factor
quintuplets_0005,"""Crpto""",55.095849496410814,1336267.4110607256,138.86349351799447,0.011181891448591335,286.4515373233776,-0.005723078486803535,1.2062937062937062,2.8193473193473193,3.476689976689977,858,9233.41666735301,696.0252255839505
inside_up_down,"""Crpto""",63.18670009639404,4.994919614906684,240.76275463267487,156.96626454413234,233.01990620399695,-170.43199681883866,0.0,3.8997668997668997,3.2412587412587412,858,17820.187687628848,589.5396011242848
contrarian_rsi_divergences,"""Crpto""",46.98054593268971,10.14088504660903,128.48745510373342,87.37764177343874,97.52895001365395,-56.81382002635309,0.9953379953379954,3.0303030303030303,3.2365967365967365,858,3234.9481318347634,524.2337141570979
spinning_top,"""Crpto""",46.84706763170863,2.251058063399417,147206954.03211755,506776694.3890299,427208699.3391069,-1591693017.9579284,2.3974358974358974,2.252913752913753,3.9895104895104896,858,3.1523565193955395e10,512.3794179726758
hammer,"""Crpto""",49.03523886256195,2.8153945610457347,13992463.082408147,111591562.63547035,427208599.05681443,-1591805008.3504918,4.9393939393939394,5.092074592074592,9.234265734265735,858,7180134642.739094,471.04563307925235
trend_fol_3candle_ma,"""Crpto""",61.91370144823287,1.546516414217526,58.591413854036055,95.38047425738824,127.8750457920539,-161.28431556526402,8.152680652680653,12.308857808857809,19.8006993006993,858,10161.384568532188,444.8740786648956
tower,"""Crpto""",35.59423867086021,1.4490378259580636,433983781.93000185,281308479.23601294,1165887813.9306996,-1165888007.7132304,12.932400932400933,0.0,12.261072261072261,858,3.150904390596773e10,408.06219526966936
three_candles,"""Crpto""",58.115720377346065,1.0769426612499238,62.64399773863309,148.20523274222901,196.75006229029646,-274.2913560323276,16.75058275058275,20.517482517482517,36.54312354312354,858,8171.846536358457,359.73251080038335
mirror,"""Crpto""",51.47282825301025,25.255668852792102,227.18734026608988,11510596.857571006,353.45997669300203,-427209027.3303903,6.571095571095571,6.918414918414919,12.524475524475525,858,878445171.2022905,333.0455275115344
harami_strict,"""Crpto""",50.56485925231233,10.904423046243659,105.47519625412576,121.1141637183602,121.12816130762037,-153.16508757742093,2.5303030303030303,2.2144522144522143,3.7634032634032635,858,13226.424816064582,311.9205370386519
