strategy,universe,hit_ratio,risk_reward,avg_gain,avg_loss,max_gain,max_loss,buys,sells,trades,N,expectancy,profit_factor
inside_up_down,"""MC2""",19.261565313049307,0.3428267942502087,10.267478860350197,9.054001837135688,20.839520010106106,-24.082447813431298,0.0,9.633587786259541,9.068702290076336,131,625.3865715496702,686.6054611764906
spinning_top,"""MC1""",15.02750024123871,0.3005393769654636,119.7880054466931,487.6072280877498,287.8386302094575,-765.5698299864213,2.800675675675676,3.0878378378378377,5.324324324324325,296,12525.186171941674,678.6892564950809
inside_up_down,"""MC1""",22.033464294230175,0.47036692596030866,5336.384202301549,2654.39673762773,17810.088380841964,-8168.824433306116,0.0,8.652027027027026,8.030405405405405,296,309559.8758631099,675.7316412797089
spinning_top,"""MC2""",18.93334963135755,0.38794641326251855,9.770107440306814,9.328933775834384,22.37559390765802,-26.846728359734353,3.4198473282442747,3.564885496183206,6.3893129770992365,131,777.0556185452576,648.5536711833688
tower,"""MC2""",20.168781163548648,0.5063803244432789,12.261781756624414,10.2636132360602,28.72760176871221,-20.35680228052901,26.099236641221374,0.0,25.412213740458014,131,973.1480983912244,625.868481962466
trend_fol_3candle_ma,"""MC2""",26.884831083792367,2.910971492898526,8.077407083507913,9.65387794156939,24.030435186196957,-24.05336967827023,41.213740458015266,28.85496183206107,69.23664122137404,131,870.2199702591587,592.1702029908978
trend_fol_3candle_ma,"""MC1""",23.85365205330749,0.31632653473057776,880.9107238788026,1443.980431956221,7419.9739018496675,-9571.927441166841,35.233108108108105,30.429054054054053,64.70945945945945,296,150115.44411618751,587.6724828899405
tower,"""MC1""",21.503474849298666,0.5631138288649108,2079.7153938256156,1502.119803812949,13130.297237687693,-9449.912478736735,25.97635135135135,0.0,25.216216216216218,296,125593.55221219054,584.5868762063916
three_candles,"""MC2""",25.905114698234136,2.942946098134059,8.548841713660432,8.139330822213829,27.00252373789542,-23.005207576239695,55.29007633587786,48.541984732824424,102.74045801526718,131,791.1566271694876,546.3578303530154
three_candles,"""MC1""",25.364653437927878,0.39266855749034435,818.0232037580074,1034.3494211543746,7452.853623727703,-6625.8195654662995,48.067567567567565,48.945945945945944,95.80405405405405,296,106559.58845647093,543.8321144633785
pattern_hammer,"""MC2""",28.190447573871893,0.6843696532751413,0.7599040305122279,1.047921064767239,6.170934645858779,-7.114560511500765,44.0763358778626,47.3206106870229,73.3969465648855,131,55.014462508576834,450.94520806300426
slingshot,"""MC2""",50.3959928959929,1.9975539886257296,10.25066719692192,6.644250160352109,16.175705270209153,-8.986450366355724,5.099236641221374,0.015267175572519083,3.099236641221374,131,586.8516151030713,378.79291427211155
hammer,"""MC1""",36.46929789432133,0.909194521820664,658.325442884203,1621.194111170541,4667.259723512332,-4096.633811583297,64.42905405405405,56.78716216216216,118.66554054054055,296,61336.23974871694,298.06851555148864
