strategy,universe,hit_ratio,risk_reward,avg_gain,avg_loss,max_gain,max_loss,buys,sells,trades,N,expectancy,profit_factor
inside_up_down,"""SC1""",50.596789082532794,1.3360718055931475,110.05858555222652,113.61469112927217,227.17167224080268,-105.77080267558526,0.0,6.989966555183947,6.454849498327759,299,13373.818338075891,725.3488895749462
tower,"""SC4""",48.674555456431655,2.392983041546805,26.393254699141085,18.81881839778454,15.810850340136055,-17.46380952380953,21.98639455782313,0.0,21.3843537414966,294,2069.2327008016414,724.3912237201674
inside_up_down,"""SC4""",45.04585607437977,2.7528376501049157,22.983078200265336,26.241999710621478,19.391292517006804,-19.6838775510204,0.0,7.224489795918367,6.717687074829932,294,2639.4592755235644,718.2690225333703
inside_up_down,"""SC3""",44.10120170819304,1.4673825771449784,29.451531019999184,19.376563606651413,14.882937853107343,-10.216242937853103,0.0,8.768361581920903,8.203389830508474,354,2520.1503192920786,717.1405880405707
inside_up_down,"""SC2""",51.016647803614035,1.1687157264788641,260.5784864221124,57.02748963907301,203.72884868421056,-27.585625000000004,0.0,8.259868421052632,7.723684210526316,304,28058.00495188045,713.5742248870172
spinning_top,"""SC1""",44.6023116569326,1.391600660709693,57.16576981316568,102.2316757090862,77.17341137123746,-227.34367892976567,2.31438127090301,2.240802675585284,4.083612040133779,299,8698.358327394819,712.0218209153719
tower,"""SC3""",50.81571697190493,1.4786088848651702,26.576931563211268,23.019284694073008,24.217570621468923,-16.825056497175144,26.115819209039547,0.0,25.401129943502823,354,2265.2302836743515,694.6560052448309
tower,"""SC1""",48.92160733562736,2.092734370506763,91.70046213042609,78.13062547162497,122.44137123745823,-149.43789297658859,19.909698996655518,0.0,19.28428093645485,299,7377.293328035353,689.5070008252604
trend_fol_3candle_ma,"""SC4""",52.01776348208011,1.9860698950276678,13.668849722681237,16.443613127429472,12.215,-14.343163265306124,33.465986394557824,23.802721088435373,56.45578231292517,294,1610.2116784676768,687.4699933724958
trend_fol_3candle_ma,"""SC3""",58.59693488406972,1.6600508424760771,15.740385440261818,18.652318845673797,16.079802259887007,-18.138898305084755,39.26553672316384,30.112994350282484,68.42090395480226,354,1915.5252789676633,683.5095322580281
tower,"""SC2""",46.353495413454176,1.2019121186974844,92.92305801962195,109.8474464621399,91.80661184210524,-156.06723684210527,24.720394736842106,0.0,24.032894736842106,304,5511.783502986628,677.2946629728772
trend_fol_3candle_ma,"""SC1""",54.93503684663086,0.9053370498257495,40.41757278156528,61.4403133989232,63.964214046822704,-119.72782608695648,29.153846153846153,21.91304347826087,50.25418060200669,299,6118.76194733942,671.9670302153893
three_candles,"""SC4""",48.26970219773851,2.7286793400262948,13.909094346396985,15.608173017645472,14.32887755102041,-14.68377551020408,43.88095238095238,40.06802721088435,82.81972789115646,294,1459.127691196978,667.8655682495356
three_candles,"""SC3""",53.44089541657095,1.9551262486626453,15.05612961100687,15.039578189588052,15.932231638418074,-16.45155367231638,52.73728813559322,49.20056497175141,100.70338983050847,354,1550.8050069464157,644.1185188723666
three_candles,"""SC1""",50.10834112011021,0.9980907034977492,36.576373015629756,42.16320171467753,82.02769230769233,-117.9144816053511,38.82608695652174,36.08361204013378,73.87959866220736,299,4357.343133638407,628.5767707234912
trend_fol_3candle_ma,"""SC2""",51.74342185008607,0.9414999684635648,45.654330678058145,77.02870227226666,117.15118421052627,-107.73957236842107,36.3453947368421,28.125,63.55921052631579,304,8150.25509829357,621.5786735156021
