strategy,universe,hit_ratio,risk_reward,avg_gain,avg_loss,max_gain,max_loss,buys,sells,trades,N,expectancy,profit_factor
pattern_piercing,"""Micro1""",48.77960186202279,1.1282009486995817,489.59900519241756,677.7472658391919,6726.64715151516,-10602.730454545452,56.3969696969697,64.8,118.96969696969697,330,57608.122066766875,34.36233090875016
piercing,"""Micro2""",50.81910554947635,1.084918652262166,23046554.892157894,20714246.17501891,275419821.6131675,-291219666.1589553,51.928082191780824,53.679794520547944,103.66609589041096,584,2104574479.9996033,33.64210362566097
pattern_fibonacci_timing,"""Micro2""",46.272109504552276,1.2564272984247764,50730059.14072349,25411199.26770806,556470970.3755649,-357869157.89857846,35.17465753424658,25.366438356164384,59.3013698630137,584,2596981476.886968,33.602540237094914
pattern_piercing,"""Micro2""",48.132613567541604,1.3477763569585064,20493107.145450644,23323355.366188455,276411711.48982877,-350763201.79184955,51.957191780821915,59.46917808219178,109.2277397260274,584,1960456779.8150227,32.04452722455494
barrier,"""Micro2""",47.81841862710854,2.03445967996103,25593320.773225985,26162310.746719405,184337839.78722596,-250364396.72868145,25.72431506849315,23.118150684931507,46.86815068493151,584,2845414150.5997224,31.76436046122547
double_trouble,"""Micro1""",55.77908344389114,1.1674312058173137,597.5456784871757,698.7361664684828,7140.270272727273,-8425.602848484845,7.915151515151515,58.46969696969697,64.81515151515151,330,84896.15107914725,31.764231872515644
pattern_marubozu,"""Micro1""",49.934304583730736,1.278803244625003,943.6458762951016,1280.607089772961,8189.954848484846,-10855.185121212122,227.5878787878788,0.0,204.29393939393938,330,91262.0315299895,31.50305573484027
trend_fol_2trouble_rsi,"""Micro1""",54.286938214816864,0.7780024174436182,1966.1254398872916,1595.9879132235565,7866.612636363632,-13636.611272727272,47.66969696969697,6.133333333333334,52.32727272727273,330,150948.09147814434,31.22782492645068
heikin_ashi_double_trouble,"""Micro1""",52.73891942373732,0.8144397710445619,985.1998110228075,861.3142248724192,5398.2330606060605,-9641.983969696967,84.89090909090909,7.721212121212122,90.76060606060607,330,70239.37296857986,31.191845222763433
candlestick_double_trouble,"""Micro1""",52.73891942373732,0.8144397710445619,985.1998110228075,861.3142248724192,5398.2330606060605,-9641.983969696967,84.89090909090909,7.721212121212122,90.76060606060607,330,70239.37296857986,31.191845222763433
donchian_indicator,"""Micro2""",83.85651984783433,3.6420065939629813,11846225.514092848,4598303.868583959,185200501.57785943,-73424689.59946917,46.72945205479452,46.33904109589041,87.04965753424658,584,1250004975.1723454,30.162817026321854
heikin_ashi_double_trouble,"""Micro2""",51.51096275308161,0.8741809629164209,25010206.826990407,26114747.858682346,470572029.4708903,-360611855.6326367,79.54452054794521,7.414383561643835,85.02397260273973,584,2415694554.5020485,29.999196226959494
candlestick_double_trouble,"""Micro2""",51.51132295741833,0.8741710446809398,25010206.826960247,26114747.858682346,470572029.4708903,-360611855.6326367,79.54452054794521,7.416095890410959,85.02568493150685,584,2415694554.502254,29.999196226959494
double_trouble,"""Micro2""",57.30839385283618,1.2697464679730377,25625769.297217205,24238798.72414902,459079591.29154086,-198878506.11034235,7.75,56.39554794520548,62.48972602739726,584,3361153156.3345385,29.508723073184253
tf14_catapult,"""Micro2""",60.165985183522515,2.231267706568249,20293309.593715556,42307509.07849682,137707445.05525678,-159821697.81797937,10.085616438356164,22.517123287671232,30.767123287671232,584,4594579174.248035,28.954403962009525
pattern_td_waldo_2,"""Micro1""",48.154862624331706,1.4249518596606203,1322.904788607517,504.22961038409835,9371.48554545455,-7015.0176969697,27.527272727272727,24.82121212121212,50.63030303030303,330,99574.40716929735,28.874965292327452
tf14_catapult,"""Micro1""",57.52231714884131,2.3062466316023666,463.5583227641097,3043.066593373729,4924.002000000003,-16961.863606060604,11.263636363636364,21.86969696969697,31.451515151515153,330,265357.5167431815,28.810967787389966
pattern_td_waldo_8,"""Micro1""",50.54980035857384,1.2823078029976893,1538.0221896558526,1163.3005065144175,15823.866333333332,-9820.545212121213,31.403030303030302,30.172727272727272,59.60606060606061,330,133411.054968059,28.672168186538606
contrarian_time_up_extremes,"""Micro2""",34.40328204338707,2.0522852412566324,27420362.506498933,13974993.681480618,315436529.4614209,-540679371.5950178,54.513698630136986,36.04794520547945,87.18835616438356,584,1222384386.7927754,28.447860425895737
pattern_differentials,"""Micro2""",48.70234397795945,1.090661465262772,16627027.072458036,14342440.091589993,408096707.9586301,-524376366.5603592,106.41609589041096,80.85958904109589,183.75171232876713,584,1638005165.7654047,28.397237677854537
contrarian_countdown_duration,"""Micro2""",41.870949476595136,1.4693911867680727,22344479.132274643,10095121.68795889,237433419.5652912,-107140595.2582876,77.87157534246575,48.011986301369866,121.20376712328768,584,1065811773.5566283,28.394098235349478
k_extreme_duration,"""Micro2""",43.67317276510606,1.6866930553827375,41272790.86634737,19029868.037976783,219098452.20779103,-107679728.84756863,21.068493150684933,15.383561643835616,35.23287671232877,584,2000634619.484885,27.19580450391363
inside_candle,"""Micro2""",50.574892629690176,1.1257911996037515,19437531.738793302,17707231.424291253,346593906.69294524,-229100987.3186474,66.74657534246575,73.59760273972603,137.72431506849315,584,1842819671.8560848,26.818651790539903
tf1_ma,"""Micro1""",50.379824318131696,1.4114190908266278,767.3344550517965,804.4729692933078,11788.798757575763,-10034.710939393935,38.906060606060606,39.81515151515151,75.21515151515152,330,86040.74967192163,25.74554352181233
pattern_fibonacci_timing,"""Micro1""",47.3076238828339,1.2029507543333702,988.3958164605298,952.5058437685693,4873.542969696971,-10015.081969696968,36.054545454545455,28.70909090909091,63.4969696969697,330,62697.755701383765,25.308209422668043
on_neck,"""Micro1""",48.00934039101549,1.1676324873622261,391.2555580532042,398.48881901792174,6522.562454545448,-7270.242484848485,96.75757575757575,101.93030303030304,193.26666666666668,330,37631.480691027915,25.28410012521234
