ticker,side,risk_reward,expectancy,profit_factor
udc,14,7433742863.501049,2511061052.069916,802.3574238159073
banana,12,1.2814260250482616e11,1.063418821285615e11,1048.8359793199525
usdcet,11,1.87849929534901e10,2.1319900044232788e10,621.1131868641318
mdx,10,1.9282677223491797e11,7.719462748501399e10,877.4218936793075
gmm,9,8.792601557040436e10,2.8760209461741936e10,72.17098773309084
pepe,9,7.745505366112827e10,8918129630.887878,80.88769009803543
sd,9,3.0207435335418446e10,4.1915499171949005e10,81.0433897143886
myro,9,8.795172424493834e10,3374223534.5139923,23.300483210216193
suku,8,11.42587724947867,5.933917268284916e10,852.4741799482235
jup,8,4.8040050378350746e10,1.955159234066519e10,836.6553802319883
rbc,8,3.052039482810581e10,4.180970324205582e10,535.7509482142642
smt,8,5.615204558925318e10,6.030608152079405e10,229.63169335560946
busd,8,382.4760657101577,8675962752.36656,223.8952517371161
zelix,8,8.919090427660423e10,5597958759.343422,31.707822582966223
kma,8,5.433864144014403e10,1.5640907043475124e10,79.74582843768512
polc,8,7.650312475320215e10,4.909545397494946e10,39.87905574857805
rep2,8,5.771858094631986e10,4.0947653947987724e10,36.34828939217769
push,7,1.442881078670607e11,1.5917620089741457e10,819.6549450049188
dusd,7,2.250180320823885e10,-2.7285694436899338e10,565.401474190933
aeur,7,428.40848373388303,5275455042.861662,426.01183007149024
ngl,7,8.697408714559953e10,-2.185229835079883e10,102.97746985039936
bin,7,1929566357.7264724,-1.6312652707985298e10,49.05762328773744
kin,7,2216817771.5337358,2.7438049689351887e10,37.043089679682375
whale,7,5.33867127735579e10,2.933754728307206e10,27.132122770062136
kmd,6,1254837.7752905716,-2.2731622102234253e10,1069.3992887105007
nkn,6,3.0233143584058495e10,-2108063093.4043655,829.9285796771534
mass,6,5.771858066030782e10,6255005975.846946,183.65004184343266
cult,6,3.457645980780119e10,2.9078052213145836e10,102.838152244131
ousd,6,4.252368887164516e10,1.1821524565410133e10,30.420430546436393
bull,6,1.0575862896945277e11,-9883727648.659805,-9.188727611773032
ogv,5,9.489055861905307,5358865180.933379,825.3460797021858
tsugt,5,5.8696218364945145e10,-1.4713575473423424e10,483.57806375027053
dai,5,5.88908891622852e10,9185183175.010462,520.4262609402814
mbox,5,5.674094307199902e10,8946231107.33254,428.47298374991027
fdusd,5,3.275619289923802e11,1.7297041407814438e10,368.72702325839373
eur,5,-977637100.6135077,3537731453.658188,279.24615382370314
dyp,5,-5.052768720758788e11,3.0127183680287445e10,139.53844717672985
aac,5,951929088.5298636,3.0328125656998146e10,79.37964425214219
soc,5,-1.4707055638921478e10,1.4526161260923351e10,58.91544629984508
nibi,5,357.81056755299085,1.6537466672171349e10,69.57166666953833
alcx,5,5.674094303391036e10,-5481170086.433838,61.31607425540413
pika,5,951928912.5466331,1.8190678135062916e10,63.309550746565456
coq,5,5.8670509542482925e10,3.0087024317562176e10,25.56745808461943
cru,5,977637582.0737029,1.1124180140187048e10,52.48479937607112
new,5,2216817777.2618775,2.9019552615596546e10,17.685746263897954
stbt,5,-977637159.1258955,1.9445051078383163e10,44.218363567717674
stg,5,977637701.1686059,4.3794896233890625e10,38.89049269666834
pro,5,977637574.4399318,2.5111395964149536e10,23.800665669892645
pbx,5,318.2172046227685,6126115637.241896,11.881609919376388
mav,4,1254663.160790491,-701957554.8916092,1049.9312539150992
polis,4,3052583938.804934,6.0912825672423615e10,1033.3992632866539
sol,4,1.8784543938327324e10,9963192999.11357,864.6483741043886
infra,4,6.130823276551082e10,2357896953.3999214,542.5871284618945
lat,4,7.650312482368477e10,3.5018268143523346e10,526.3124930120385
sols,4,-380.8121916544184,1.0183407930486683e10,234.87133848355347
ghst,4,16.382835448497097,4.848942771798485e10,238.3674834286011
link:,4,4.0213706634499115e10,-1.1974133497263584e10,198.5954085250409
adx,4,-7.976973866528687e11,-6.034120456098314e10,100.99244520205738
stn,4,1.0217183558251881e11,7297677740.273521,143.3115021847168
bsw,4,9.232074886379854e10,-1.2494476801276842e10,159.9450967980049
fis,4,977637594.0285674,1.7083518001326962e10,150.97560118067912
bdx,4,12.86110299897473,7487370493.255434,86.57740060867953
tbtc,4,8.368932402973805e10,9386183825.110651,72.7191959915232
fcl,4,1.976218177391009e10,5625708443.433649,73.83368155218221
vision,4,1.780690671562212e10,8020202525.8587055,63.29587828125633
sgb,4,977637645.1615074,5569097128.921961,65.72008679888157
3crv,4,-977637171.4313477,2.578016338315518e10,63.06610911715672
floki,4,5.7692871892693985e10,1.098152226901158e10,62.236529232006816
floki2,4,5.7692871892693985e10,1.098152226901158e10,62.236529232006816
spa,4,7.52382357445912e10,1.1981461808681084e10,14.816650817929172
xpr,4,951928750.507873,-4688346911.079874,60.85699663719756
scrt,4,5.771858090212015e10,5109929346.592106,-305.66892170643564
aca,4,-977637610.5534376,-7218561795.155739,25.042084227223075
elon,4,2216817688.852747,2.4664495905692093e10,16.437693074214927
alpaca,4,5.869621819079624e10,8936524859.879871,42.12014709896689
nft,4,4.0945839540544754e10,-966540684.9870453,-30.892332426423266
asm,4,1.0176441963819847e11,4.050482509902385e10,40.98952999159059
for,4,-2.477149352588469e10,9414522965.196156,27.30417182495745
hero,4,7.167718312689445,8790057008.31633,35.489845370928016
bchn:,4,-27345.150837817775,2.063065099256683e10,-305.1437754356678
loka,4,9.175273893060031e10,2.417628680457162e10,22.456053465157613
keep,4,977637648.0667257,2.106463708013502e10,22.189941024867487
prq,4,1.976218185253289e10,1.0164761206232079e10,17.99784618573736
ego,4,144.01547982766917,4.322767016345393e10,16.365985672541488
aero,4,977637558.6117636,-389752372.17819595,7.394756597050889
1inch,4,977637485.0142937,-9722191603.122501,6.231282806973206
1inch:,4,977637484.6848335,-7603828772.369602,4.8959229290081305
rari,4,977637570.2865078,5825478312.116549,-118.55070846486763
