ticker,side,risk_reward,expectancy,profit_factor
US000000096491,8,9.592363863677274,1.4331326155060112e10,58.92022218197637
US000000000323,7,11.847510461225502,4032.153378245392,64.45325170280854
US000000050594,7,7.8573111105482205,374637.87226878235,45.8686018368278
US000000009137,7,7.544075336365919,8673104988.252827,30.819194648796223
US000000013199,7,7.5497072929384,2570.179823770031,7.754529295146682
US000000043656,7,7.230866980409697,5585.848324520544,9.214618046109383
US000000095522,7,6.696749365888325,1430.3384720687625,7.740699254744299
US000000006857,6,5.486935337989709,1013.8850603637179,173.28749226092128
US000000001032,6,9.19470500147925,375991.69317142,55.03530478760911
US000000009796,6,6.296131604701931,2903.1432498344757,61.89658773804881
US000000064249,6,6.996897690906557,306657.7548180997,44.082487862998384
US000000010236,6,6.817339972909622,299370.48123526445,44.53254530854095
US000000008692,6,6.638423469895571,8941700664.657463,9.936182461729636
US000000009858,6,5.068731130414342,236937.3073203022,16.5716099832806
US000000011498,6,6.440440144499348,2248.9678692051507,8.411406158147624
US000000001726,6,5.9088154642279145,1786.724360942465,12.289250825235468
US000000000666,6,7.468081708245122,1974.2044831396843,12.111870395254725
US000000040959,6,7.340559375186075,2071.4995264126374,6.319335944348854
US000000008821,6,6.085730698096752,1176.044930657414,6.729744237509114
US000000002450,5,6.276588028995515,280682.5248610605,481.4616982355174
US000000000753,5,6.406795417684037,216736.32471066696,464.6190025622535
US000000000716,5,8.383736160021684,7645.72989035411,192.66997669806426
US000000009837,5,6.2882876742673295,1295.1914449727833,175.82298936888267
US000000080456,5,7.533283899010274,363202.8853354103,73.62139766699957
US000000010088,5,10.225939951082271,8215212614.615789,84.99456802151829
US000000072653,5,7.844110437675321,351018.71885933995,67.5675447108363
US000000001288,5,6.5568255494156755,279506.13175159454,67.5346333955535
US000000001970,5,6.86976896496008,350997.1840339521,71.00459175421581
US000000097454,5,5.7097769904763,296840.5959170806,54.80378799113851
US000000070624,5,5.038488880416538,234121.34186249776,48.63589452712106
US000000074888,5,5.167934689382196,241184.3603111144,46.34985966968709
US000000071365,5,6.018398125833895,239132.86463196517,38.222192845730206
US000000069478,5,4.990065871121005,6737492146.784138,25.015637141852068
US000000039991,5,6.086266829991636,252881.6177922926,27.283046893181428
US000000008801,5,6.724841449814441,6225739800.429248,18.27630413798358
US000000082116,5,5.790185137185093,213234.5540910692,19.24240655393563
US000000008533,5,5.032569220989196,1172.181611497222,20.47468453683289
US000000057578,5,4.96461583591913,245456.10500273804,21.7557327227929
US000000002108,5,4.393707281887305,5319964810.851058,18.887378374154256
US000000079341,5,5.057864935072869,5250168072.197635,19.718798265798085
US000000000314,5,4.852686303669177,2117.7168972070895,7.408046767946001
US000000008494,5,4.64647540592969,2312.4633152262554,7.401992980308657
US000000002982,5,5.236880894123196,4349824388.082372,12.615565384329056
US000000002216,5,6.411891636527373,3974.1758321641873,7.099113084616416
US000000009860,5,4.362973205451906,1283.6895297876495,4.856741545408406
US000000007310,5,5.542913654501766,659.1843903515326,2.1392162477020893
US000000001396,5,6.0700945252164145,1929.8601781870598,6.158051827810815
US000000000690,5,6.212021981995285,3751.255647212857,7.21233181255811
US000000000823,5,6.152907675666302,3831.8694832845686,7.192747704577929
US000000077384,5,4.990653877099726,2058.0742370594094,6.097532594280921
US000000002643,5,6.810354304062402,1798.9317218907674,5.451097756226249
US000000009062,5,4.119932491361699,822.2899777422592,-1.7087893521965523
US000000006417,5,5.250689491817525,4975.877408678391,3.4829691111165433
US000000001021,5,5.489278664252774,746.016747338708,2.142494704295415
US000000005938,5,5.070245651760528,881.9068494515656,2.1135866508970045
US000000009232,5,5.7918832971727126,4507.9169289986985,7.249144919480607
US000000071257,5,5.267028950392659,930.8523451284029,4.505321418793814
US000000088772,5,5.878821044664769,540.5012262793136,1.655134434969467
US000000051428,5,4.627060791384384,4650844556.76363,6.936716803465263
US000000002491,5,5.9893599291115365,1478.4923480850778,5.723543611431094
US000000002725,5,5.204661567485532,1111.8652743773982,5.490882135473189
US000000009893,5,4.434956837127679,929.0876572506169,5.4364607815165655
US000000000981,5,4.245946682251082,996.5221726795196,5.1693956314152905
US000000095841,5,4.5902843743299035,1095.296950506237,4.5559138523243785
US000000080585,5,5.909443609536728,1390.8157166832534,5.941614622807138
US000000067230,5,5.048199853339258,1304.0764844402588,5.889120079686752
US000000001616,5,4.969724243986056,848.88619204344,5.665491524236032
US000000048021,5,4.961191995591309,953.0068555917342,5.588442176935388
US000000000393,5,4.638046198844763,1285.7862719451873,5.367321071284026
US000000009797,5,4.521747311296149,604.3989994361042,5.049357101267706
US000000010762,4,5.80611301473122,467376.66579613276,768.2062264446456
US000000083248,4,5.536202679058887,549060.4613425971,757.3785123343358
US000000074306,4,8.121697900732022,1.3119523308581398e10,668.4066113724771
US000000001119,4,3.8779215315739046,1403.5162635816714,269.31910425022767
US000000001808,4,3.9745385404096325,1305.761408132691,184.83790507461507
US000000002421,4,5.432073736482621,1915.0827437160576,185.49038866496102
US000000062413,4,6.256399151234272,266925.8936397153,88.37202448651612
US000000010041,4,9.14674103547379,7666884756.141501,83.83891352988319
US000000008789,4,5.1240485384723575,254576.1742914801,72.06180457798018
US000000079594,4,5.283074813033636,204319.277505112,52.88092253191775
US000000001595,4,5.537193048320405,300740.7878676299,67.20904358555886
US000000073236,4,5.484476958374664,168935.03851887168,58.32568000590812
US000000074736,4,9.432824377192809,1277.572288795389,65.75813029395383
US000000011595,4,5.079359624033102,274189.8751415206,56.276405632328235
US000000049272,4,4.335497759649682,311548.5187008024,42.27162874199911
US000000002157,4,3.843324223220064,160692.65076415963,47.68613183197233
US000000040337,4,4.304439376910842,251841.59472570894,45.109641004670486
US000000099096,4,2.7715289646353307,151170.6238374919,15.985317322454229
US000000035538,4,3.8487330330885356,172825.87427215057,36.530892302486606
US000000008838,4,7.163077056671691,196176.9734960803,29.46200590664486
US000000010431,4,3.9026000358300257,179699.4884326608,41.94778276731405
US000000001793,4,5.282279932869329,1.3077827689015028e10,39.61958007861482
US000000057641,4,3.8076839120256762,179956.25399698483,39.21220257083848
US000000002422,4,2.1173373604699597,204107.8189512032,15.079549344448843
US000000072386,4,5.1081432865713134,-52094.90060333183,11.282047493760295
US000000072622,4,5.581460061932031,270516.18036889215,29.370887503882575
US000000009587,4,5.935792617464148,7653269632.790685,39.171357919907535
US000000072498,4,4.82678217980693,224989.4377681778,37.30798018049944
US000000007948,4,3.776282754574937,137951.4436970505,36.66534447550083
US000000073423,4,3.5420087970729517,1297.4408981685456,35.54227490809568
US000000001915,4,4.829697755895548,164448.39691775772,14.93551166211267
US000000001317,4,5.144872506242835,206192.2189722507,20.195041256599723
US000000082259,4,4.669340086911638,7457380923.0011635,29.74220521541383
US000000008539,4,5.385856768682549,6273857691.052633,28.627920628509436
US000000012832,4,4.368640500488668,180702.04630475273,9.834662557513262
US000000009959,4,5.597193773581763,7475676056.447075,19.375877650491656
