date,universe,ticker,side,risk_reward,expectancy,profit_factor
2024-04-07,Crypto,pbx,11,328.6620775043076,1.0839065622506454e11,561.3136316474254
2024-04-07,Crypto,gbp,10,3.2230945201155064e10,4.451036676512419e10,1133.4790143038779
2024-04-07,Crypto,blz,9,6.13082327531122e10,1.2190045793430832e10,864.4072600591508
2024-04-07,Crypto,dai,8,2.5266358384111927e10,2.2880428951984585e10,653.6426313272998
2024-04-07,Crypto,zelix,8,951928851.8698334,-7411672767.521385,46.47960185770578
2024-04-07,Crypto,ator,7,1.780690641698158e10,1.6246322735640083e10,824.4653999302552
2024-04-07,Crypto,fei,7,7.748076272722789e10,8711107493.44296,239.63251767702496
2024-04-07,Crypto,soc,7,335.08413501418573,5676478430.43274,239.0376304966157
2024-04-07,Crypto,fort,7,7.552548713036955e10,-4.138231927178601e10,175.97650130910085
2024-04-07,Crypto,qtf,7,4.34756173820902e10,-5770208929.38364,84.31917328321182
2024-04-07,Crypto,lever,7,1929566482.7562463,1.809468338426866e10,82.58795506119637
2024-04-07,Crypto,apn,7,3.4576459739962776e10,2.101098158053923e10,74.55341980112657
2024-04-07,Crypto,lusd,7,1.3538895055382565e11,1.3727436578183533e10,56.272509425326135
2024-04-07,Crypto,alpha,7,1.878454420907298e10,1.0915673413398811e10,41.08579072053928
2024-04-07,Crypto,vib,7,1.976218184837797e10,2.465715539850363e10,31.62039033545066
2024-04-07,Crypto,btc,7,11.821590416957278,2.697195784204605e10,27.34964578720982
2024-04-07,Crypto,ampl,6,8.697408673655666e10,1.2688876016006e10,837.6986950663046
2024-04-07,Crypto,bnx,6,6.732290211592917,1.4289453456217339e10,821.1977861676932
2024-04-07,Crypto,vai,6,2.4360486392452863e11,1.9268803957410744e10,576.8536692976348
2024-04-07,Crypto,dfi,6,977637671.7390487,2.6828605503500404e10,497.46051463714883
2024-04-07,Crypto,arb,6,5.7718589751994896e10,2.22092062050616e10,317.55665453497346
2024-04-07,Crypto,atlas,6,21.55066738246952,5154897794.867223,261.0969390256344
2024-04-07,Crypto,babydoge,6,-6.5232684628484344e10,8076108085.109747,125.3862543446875
2024-04-07,Crypto,plex,6,7.650312490519308e10,1.1884694965160633e10,98.58175717738757
2024-04-07,Crypto,rats,6,1.9736472897910458e10,-3.813750553515365e10,54.37225542777567
2024-04-07,Crypto,kas,6,7.650312477171347e10,-2.8365286615397106e10,44.9793850053356
2024-04-07,Crypto,act,6,951928914.2900512,1.65966749491308e10,65.9288527815682
2024-04-07,Crypto,xrd,6,5.771858093771207e10,6.5791260101848305e10,43.051465893290136
2024-04-07,Crypto,ordi,6,4.8040050235262024e10,-4.010510894131871e10,6.221160574541376
2024-04-07,Crypto,abbc,6,2.0049433223362152e10,3.182330786211682e10,32.040270734129564
2024-04-07,Crypto,aioz,6,66.09134942334354,1.0750491937831861e10,23.29338426878122
2024-04-07,Crypto,rei,6,102.68933155923149,3.413101239732816e10,15.620830449667139
2024-04-07,Crypto,math,5,5.336100386433342e10,1.3795838123457285e10,480.9187552582986
2024-04-07,Crypto,ankr,5,48.35223501839807,1.531516582732874e10,402.4310935648444
2024-04-07,Crypto,usdp,5,5.867050910686403e10,1.0552737481462719e10,345.00510447085884
2024-04-07,Crypto,reef,5,1.9736473147840824e10,-3.670429556143721e10,286.27197467818837
2024-04-07,Crypto,isp,5,1.875883498978646e10,-3706942523.5649147,-58.48236482485265
2024-04-07,Crypto,anc,5,-3.7955950410855446e10,9682033602.091908,176.4639488038514
2024-04-07,Crypto,mask,5,2.5749579421956985e10,1.084147047527388e10,207.70078479075326
2024-04-07,Crypto,banana,5,3.460216825255218e10,-1.0861091117800325e10,183.29170273418183
2024-04-07,Crypto,hive,5,3.3624530860010326e10,2.9202554304271667e10,169.77535040024435
2024-04-07,Crypto,sats,5,1.8758835416319954e10,-1.9620523271424866e10,51.507992945790576
2024-04-07,Crypto,lunc,5,951928925.0304347,3.3213444956462708e10,63.22062808880727
2024-04-07,Crypto,steth,5,323.31123731261636,2113280224.1030474,16.74796941003788
2024-04-07,Crypto,bel,5,977636772.908966,3.805805655361194e10,2.504511667808183
2024-04-07,Crypto,velo,4,951928837.2688061,7276604571.308405,474.0697466643222
2024-04-07,Crypto,rif,4,15.386285530732062,4130444737.947858,425.90369713984444
2024-04-07,Crypto,pax,4,5.771858095891685e10,4187458613.2601633,311.0772879892453
2024-04-07,Crypto,tomi,4,9101.775983921956,1.9294876336100643e10,309.00803032279947
2024-04-07,Crypto,myria,4,951938028.6612016,1.6795930063331856e10,274.77013670841046
2024-04-07,Crypto,usdn,4,9038.059536555918,-2411954807.8154125,259.8478462933941
2024-04-07,Crypto,kan,4,951928963.1396471,2.0475624381084335e10,238.35875337381327
2024-04-07,Crypto,bnc,4,119.38927079123462,3.0245906793890934e10,215.59566759213504
2024-04-07,Crypto,deso,4,1.8784544302242317e10,6307791407.015152,193.7173139621021
2024-04-07,Crypto,nest,4,5.993539831736218e10,7987789859.830322,99.3632883465665
2024-04-07,Crypto,upi,4,951928842.8051332,8189088774.018984,76.50240775067633
2024-04-07,Crypto,dfyn,4,-977637479.2987571,8623543185.7543,79.17279181763453
2024-04-07,Crypto,wlkn,4,1.9736472820245335e10,-4.029114744716108e10,48.79000628347099
2024-04-07,Crypto,bttc,4,-5.6766651912433685e10,-2.1771617506489304e10,44.93925048991828
2024-04-07,Crypto,ccd,4,1.9736473183002308e10,1.268017236479696e10,67.51071959203172
2024-04-07,Crypto,shib,4,951928924.2105304,2.993037010375109e10,65.42823147797117
2024-04-07,Crypto,usdc,4,1.6854977882082758e10,1.3605036050353683e10,-59.53795162539497
2024-04-07,Crypto,trx,4,1.973647290158862e10,-2.09604206598492e10,-6.731364477289553
2024-04-07,Crypto,jasmy,4,93.52075316406192,2.908893276561724e10,38.57662276402287
2024-04-07,Crypto,lamb,4,93.71399405228566,2.582546839600929e10,36.92107380996937
2024-04-07,Crypto,joe,4,5.674094322303381e10,2.999664914162175e10,30.0020166411632
2024-04-07,Crypto,bnb,4,5.911902063078238,2.1039442722301483e10,8.97149408993621
2024-04-07,Crypto,bdx,4,5.77185809582717e10,-8614983650.811264,-39.19211382823746
2024-04-07,Crypto,eos,4,-46.68496218098298,-4257578823.91885,-7.799622168802681
2024-04-07,Crypto,csix,4,7.650312497245029e10,1.3553446831112322e10,15.284183826907803
